-60	3254	-1	-1	-1	-1	-1
330	0	28.2649	331.22	35.2783	331.218	1
415	2	3.64465	416.31	34.1933	444.302	1
443	2	33.3672	444.3	41.6467	444.302	1
552	4	3.63747	553.37	34.126	581.361	0
580	4	34.1251	581.36	42.5925	581.361	1
581	4	2.68333	582.36	36.4821	581.361	0
290	5	24.4179	291.18	36.8769	581.361	1
681	6	3.12835	682.41	29.3495	710.404	0
709	6	29.7649	710.4	37.1505	710.404	1
710	6	6.45887	711.42	33.264	710.404	0
355	7	24.6361	355.7	37.2064	710.404	1
355	7	1.90095	356.2	31.2724	710.404	0
823	8	7.6554	824.46	45.9241	824.447	1
824	8	2.55384	825.44	34.7215	824.447	0
412	9	5.93218	412.73	43.0598	824.447	0
412	9	6.22385	413.23	38.7849	824.447	1
924	10	2.58939	925.49	33.5007	953.49	0
952	10	32.8166	953.49	40.9595	953.49	1
953	10	12.3027	954.49	36.9426	953.49	1
954	10	2.3279	955.49	31.318	953.49	0
476	11	5.76592	477.25	41.853	953.49	0
477	11	5.8986	477.75	36.7581	953.49	0
1066	12	39.7374	1067.53	49.5975	1067.53	1
1067	12	3.3357	1068.53	45.3515	1067.53	0
533	13	26.9803	534.27	40.7467	1067.53	1
534	13	10.356	534.77	37.6273	1067.53	0
534	13	2.12752	535.27	34.633	1067.53	0
1181	14	33.1073	1182.56	50	1182.56	1
1182	14	12.6959	1183.56	46.129	1182.56	0
591	15	36.058	591.78	45.0051	1182.56	1
591	15	14.3169	592.28	42.9906	1182.56	0
639	17	2.39878	640.29	39.5063	1296.6	0
648	17	6.62887	648.81	39.766	1296.6	1
648	17	7.37631	649.31	37.989	1296.6	1
649	17	2.55267	649.81	34.1744	1296.6	0
1409	18	32.448	1410.64	49.0042	1410.65	1
1410	18	7.61119	1411.66	47.4303	1410.65	0
691	19	2.68324	691.82	34.715	1410.65	0
705	19	6.93934	705.83	41.6285	1410.65	0
705	19	7.92172	706.33	40.7979	1410.65	1
706	19	2.66472	706.83	35.6746	1410.65	0
1524	20	30.1977	1524.68	45.6057	1524.69	1
753	21	2.59207	754.33	42.6897	1524.69	0
762	21	6.96087	762.85	41.7577	1524.69	0
762	21	8.0954	763.35	41.6924	1524.69	1
810	23	3.20249	810.87	37.035	1637.77	0
818	23	31.9576	819.39	39.8873	1637.77	1
819	23	12.593	819.89	37.8143	1637.77	1
819	23	2.5879	820.39	34.8159	1637.77	0
883	25	31.8255	883.91	39.7224	1766.81	1
883	25	13.0214	884.41	39.1007	1766.81	1
838	36	2.68768	839.39	32.9775	1694.82	1
790	38	15.4916	791.39	35.4896	1580.78	1
